2025-10-07 02:48:25,306 DEBUG:	 Going to check if YML file apimgr.yml exists
2025-10-07 02:48:25,307 DEBUG:	 Completed check for apimgr.yml and exists
2025-10-07 02:48:25,307 DEBUG:	 Starting YML load of apimgr.yml
2025-10-07 02:48:25,309 DEBUG:	 Successful load as YML from apimgr.yml
2025-10-07 02:48:25,309 DEBUG:	 The YML file was loaded
2025-10-07 02:48:25,310 DEBUG:	 Going to check if static keys exist on apimgr.yml and values are the expected ones
2025-10-07 02:48:25,310 DEBUG:	 Key CONTAINER_HOSTNAME exists on apimgr.yml and value utilityBareMetal-api-official is the expected one
2025-10-07 02:48:25,310 DEBUG:	 Key RAS_INTERFACE exists on apimgr.yml and value virbr1 is the expected one
2025-10-07 02:48:25,310 DEBUG:	 Key RAS_INTERFACE_IP exists on apimgr.yml and value 10.23.16.1 is the expected one
2025-10-07 02:48:25,310 DEBUG:	 Key IMAGE_NAME exists on apimgr.yml and value cp.stg.icr.io/cp/scalesystem/sss_api is the expected one
2025-10-07 02:48:25,310 DEBUG:	 Key SSH_PORT exists on apimgr.yml and value 20022 is the expected one
2025-10-07 02:48:25,310 DEBUG:	 Key LOG exists on apimgr.yml and value /home/apiadmin/log is the expected one
2025-10-07 02:48:25,310 DEBUG:	 Key BKUP exists on apimgr.yml and value /home/apiadmin/backup is the expected one
2025-10-07 02:48:25,310 DEBUG:	 Key BUILDS exists on apimgr.yml and value /serv is the expected one
2025-10-07 02:48:25,310 DEBUG:	 Ending check static keys exist on apimgr.yml and values are the expected ones
2025-10-07 02:48:25,310 DEBUG:	 Going to check if configurable keys exist on apimgr.yml
2025-10-07 02:48:25,310 DEBUG:	 Key CONTAINER_DOMAIN_NAME exists on apimgr.yml and matches the file
2025-10-07 02:48:25,310 DEBUG:	 Key UTILITY_HOSTNAME exists on apimgr.yml and matches the file
2025-10-07 02:48:25,310 DEBUG:	 Key CAMPUS_INTERFACE exists on apimgr.yml and matches the file
2025-10-07 02:48:25,310 DEBUG:	 Key CAMPUS_INTERFACE_IP exists on apimgr.yml and does not match the file
2025-10-07 02:48:25,310 DEBUG:	 Key IMAGE_VERSION exists on apimgr.yml and matches the file
2025-10-07 02:48:25,310 DEBUG:	 Key API_PORT exists on apimgr.yml and does not match the file
2025-10-07 02:48:25,310 DEBUG:	 Ending check if configurable keys exist on apimgr.yml
2025-10-07 02:48:25,310 DEBUG:	 The file apimgr.yml does have all the required entries.
2025-10-07 02:48:25,310 DEBUG:	 Going to check if virbr1 exists in this system
2025-10-07 02:48:25,310 DEBUG:	 virbr1 exists in this system
2025-10-07 02:48:25,311 DEBUG:	 The interface virbr1 on network RAS exists
2025-10-07 02:48:25,311 DEBUG:	 Going to query for IP address of virbr1
2025-10-07 02:48:25,311 DEBUG:	 Main IP address of virbr1 is 10.23.16.1
2025-10-07 02:48:25,311 DEBUG:	 We use UTILITY hostname to derivate names for Management. Safe option.
2025-10-07 02:48:25,311 DEBUG:	 Going to query UTILITY hostname
2025-10-07 02:48:25,311 DEBUG:	 The UTILITY hostname is utilityBareMetal
2025-10-07 02:48:25,311 DEBUG:	 Going to check for domain name in the system
2025-10-07 02:48:25,311 DEBUG:	 Domain name in the system is gpfs.local
2025-10-07 02:48:25,311 DEBUG:	 apimgr.py does already exist inside classes directory
2025-10-07 02:48:25,311 DEBUG:	 Going to check if podman binary exists
2025-10-07 02:48:25,311 DEBUG:	 podman binary exists
2025-10-07 02:48:25,311 DEBUG:	 Going to check if nmcli binary exists
2025-10-07 02:48:25,311 DEBUG:	 nmcli binary exists
2025-10-07 02:48:25,311 DEBUG:	 Going to invoke input data method from main program
2025-10-07 02:48:25,311 DEBUG:	 Going to check if this tool is been run with apiadmin user
2025-10-07 02:48:25,311 ERROR:	 This tool is NOT to been run with apiadmin user
2025-10-07 02:48:25,311 DEBUG:	 Going to terminate with RC 15
